question,answer
"What is customer with values customer_id: 30, first_name: Edward, last_name: Francis, company: None, address: 230 Elgin Street, city: Ottawa, state: ON, country: Canada, postal_code: K2P 1L7, phone: +1 (613) 234-3322, fax: None, email: edfrancis@yachoo.ca, support_rep_id: 3?","customer details are customer_id: 30, first_name: Edward, last_name: Francis, company: None, address: 230 Elgin Street, city: Ottawa, state: ON, country: Canada, postal_code: K2P 1L7, phone: +1 (613) 234-3322, fax: None, email: edfrancis@yachoo.ca, support_rep_id: 3."
"What is customer with values customer_id: 31, first_name: Martha, last_name: Silk, company: None, address: 194A Chain Lake Drive, city: Halifax, state: NS, country: Canada, postal_code: B3S 1C5, phone: +1 (902) 450-0450, fax: None, email: marthasilk@gmail.com, support_rep_id: 5?","customer details are customer_id: 31, first_name: Martha, last_name: Silk, company: None, address: 194A Chain Lake Drive, city: Halifax, state: NS, country: Canada, postal_code: B3S 1C5, phone: +1 (902) 450-0450, fax: None, email: marthasilk@gmail.com, support_rep_id: 5."
"What is customer with values customer_id: 32, first_name: Aaron, last_name: Mitchell, company: None, address: 696 Osborne Street, city: Winnipeg, state: MB, country: Canada, postal_code: R3L 2B9, phone: +1 (204) 452-6452, fax: None, email: aaronmitchell@yahoo.ca, support_rep_id: 4?","customer details are customer_id: 32, first_name: Aaron, last_name: Mitchell, company: None, address: 696 Osborne Street, city: Winnipeg, state: MB, country: Canada, postal_code: R3L 2B9, phone: +1 (204) 452-6452, fax: None, email: aaronmitchell@yahoo.ca, support_rep_id: 4."
"What is customer with values customer_id: 33, first_name: Ellie, last_name: Sullivan, company: None, address: 5112 48 Street, city: Yellowknife, state: NT, country: Canada, postal_code: X1A 1N6, phone: +1 (867) 920-2233, fax: None, email: ellie.sullivan@shaw.ca, support_rep_id: 3?","customer details are customer_id: 33, first_name: Ellie, last_name: Sullivan, company: None, address: 5112 48 Street, city: Yellowknife, state: NT, country: Canada, postal_code: X1A 1N6, phone: +1 (867) 920-2233, fax: None, email: ellie.sullivan@shaw.ca, support_rep_id: 3."
"What is customer with values customer_id: 34, first_name: João, last_name: Fernandes, company: None, address: Rua da Assunção 53, city: Lisbon, state: None, country: Portugal, postal_code: None, phone: +351 (213) 466-111, fax: None, email: jfernandes@yahoo.pt, support_rep_id: 4?","customer details are customer_id: 34, first_name: João, last_name: Fernandes, company: None, address: Rua da Assunção 53, city: Lisbon, state: None, country: Portugal, postal_code: None, phone: +351 (213) 466-111, fax: None, email: jfernandes@yahoo.pt, support_rep_id: 4."
"What is customer with values customer_id: 35, first_name: Madalena, last_name: Sampaio, company: None, address: Rua dos Campeões Europeus de Viena, 4350, city: Porto, state: None, country: Portugal, postal_code: None, phone: +351 (225) 022-448, fax: None, email: masampaio@sapo.pt, support_rep_id: 4?","customer details are customer_id: 35, first_name: Madalena, last_name: Sampaio, company: None, address: Rua dos Campeões Europeus de Viena, 4350, city: Porto, state: None, country: Portugal, postal_code: None, phone: +351 (225) 022-448, fax: None, email: masampaio@sapo.pt, support_rep_id: 4."
"What is customer with values customer_id: 36, first_name: Hannah, last_name: Schneider, company: None, address: Tauentzienstraße 8, city: Berlin, state: None, country: Germany, postal_code: 10789, phone: +49 030 26550280, fax: None, email: hannah.schneider@yahoo.de, support_rep_id: 5?","customer details are customer_id: 36, first_name: Hannah, last_name: Schneider, company: None, address: Tauentzienstraße 8, city: Berlin, state: None, country: Germany, postal_code: 10789, phone: +49 030 26550280, fax: None, email: hannah.schneider@yahoo.de, support_rep_id: 5."
"What is customer with values customer_id: 37, first_name: Fynn, last_name: Zimmermann, company: None, address: Berger Straße 10, city: Frankfurt, state: None, country: Germany, postal_code: 60316, phone: +49 069 40598889, fax: None, email: fzimmermann@yahoo.de, support_rep_id: 3?","customer details are customer_id: 37, first_name: Fynn, last_name: Zimmermann, company: None, address: Berger Straße 10, city: Frankfurt, state: None, country: Germany, postal_code: 60316, phone: +49 069 40598889, fax: None, email: fzimmermann@yahoo.de, support_rep_id: 3."
"What is customer with values customer_id: 38, first_name: Niklas, last_name: Schröder, company: None, address: Barbarossastraße 19, city: Berlin, state: None, country: Germany, postal_code: 10779, phone: +49 030 2141444, fax: None, email: nschroder@surfeu.de, support_rep_id: 3?","customer details are customer_id: 38, first_name: Niklas, last_name: Schröder, company: None, address: Barbarossastraße 19, city: Berlin, state: None, country: Germany, postal_code: 10779, phone: +49 030 2141444, fax: None, email: nschroder@surfeu.de, support_rep_id: 3."
"What is customer with values customer_id: 39, first_name: Camille, last_name: Bernard, company: None, address: 4, Rue Milton, city: Paris, state: None, country: France, postal_code: 75009, phone: +33 01 49 70 65 65, fax: None, email: camille.bernard@yahoo.fr, support_rep_id: 4?","customer details are customer_id: 39, first_name: Camille, last_name: Bernard, company: None, address: 4, Rue Milton, city: Paris, state: None, country: France, postal_code: 75009, phone: +33 01 49 70 65 65, fax: None, email: camille.bernard@yahoo.fr, support_rep_id: 4."
"What is customer with values customer_id: 40, first_name: Dominique, last_name: Lefebvre, company: None, address: 8, Rue Hanovre, city: Paris, state: None, country: France, postal_code: 75002, phone: +33 01 47 42 71 71, fax: None, email: dominiquelefebvre@gmail.com, support_rep_id: 4?","customer details are customer_id: 40, first_name: Dominique, last_name: Lefebvre, company: None, address: 8, Rue Hanovre, city: Paris, state: None, country: France, postal_code: 75002, phone: +33 01 47 42 71 71, fax: None, email: dominiquelefebvre@gmail.com, support_rep_id: 4."
"What is customer with values customer_id: 41, first_name: Marc, last_name: Dubois, company: None, address: 11, Place Bellecour, city: Lyon, state: None, country: France, postal_code: 69002, phone: +33 04 78 30 30 30, fax: None, email: marc.dubois@hotmail.com, support_rep_id: 5?","customer details are customer_id: 41, first_name: Marc, last_name: Dubois, company: None, address: 11, Place Bellecour, city: Lyon, state: None, country: France, postal_code: 69002, phone: +33 04 78 30 30 30, fax: None, email: marc.dubois@hotmail.com, support_rep_id: 5."
"What is customer with values customer_id: 42, first_name: Wyatt, last_name: Girard, company: None, address: 9, Place Louis Barthou, city: Bordeaux, state: None, country: France, postal_code: 33000, phone: +33 05 56 96 96 96, fax: None, email: wyatt.girard@yahoo.fr, support_rep_id: 3?","customer details are customer_id: 42, first_name: Wyatt, last_name: Girard, company: None, address: 9, Place Louis Barthou, city: Bordeaux, state: None, country: France, postal_code: 33000, phone: +33 05 56 96 96 96, fax: None, email: wyatt.girard@yahoo.fr, support_rep_id: 3."
"What is customer with values customer_id: 43, first_name: Isabelle, last_name: Mercier, company: None, address: 68, Rue Jouvence, city: Dijon, state: None, country: France, postal_code: 21000, phone: +33 03 80 73 66 99, fax: None, email: isabelle_mercier@apple.fr, support_rep_id: 3?","customer details are customer_id: 43, first_name: Isabelle, last_name: Mercier, company: None, address: 68, Rue Jouvence, city: Dijon, state: None, country: France, postal_code: 21000, phone: +33 03 80 73 66 99, fax: None, email: isabelle_mercier@apple.fr, support_rep_id: 3."
"What is customer with values customer_id: 44, first_name: Terhi, last_name: Hämäläinen, company: None, address: Porthaninkatu 9, city: Helsinki, state: None, country: Finland, postal_code: 00530, phone: +358 09 870 2000, fax: None, email: terhi.hamalainen@apple.fi, support_rep_id: 3?","customer details are customer_id: 44, first_name: Terhi, last_name: Hämäläinen, company: None, address: Porthaninkatu 9, city: Helsinki, state: None, country: Finland, postal_code: 00530, phone: +358 09 870 2000, fax: None, email: terhi.hamalainen@apple.fi, support_rep_id: 3."
"What is customer with values customer_id: 45, first_name: Ladislav, last_name: Kovács, company: None, address: Erzsébet krt. 58., city: Budapest, state: None, country: Hungary, postal_code: H-1073, phone: None, fax: None, email: ladislav_kovacs@apple.hu, support_rep_id: 3?","customer details are customer_id: 45, first_name: Ladislav, last_name: Kovács, company: None, address: Erzsébet krt. 58., city: Budapest, state: None, country: Hungary, postal_code: H-1073, phone: None, fax: None, email: ladislav_kovacs@apple.hu, support_rep_id: 3."
"What is customer with values customer_id: 46, first_name: Hugh, last_name: O'Reilly, company: None, address: 3 Chatham Street, city: Dublin, state: Dublin, country: Ireland, postal_code: None, phone: +353 01 6792424, fax: None, email: hughoreilly@apple.ie, support_rep_id: 3?","customer details are customer_id: 46, first_name: Hugh, last_name: O'Reilly, company: None, address: 3 Chatham Street, city: Dublin, state: Dublin, country: Ireland, postal_code: None, phone: +353 01 6792424, fax: None, email: hughoreilly@apple.ie, support_rep_id: 3."
"What is customer with values customer_id: 47, first_name: Lucas, last_name: Mancini, company: None, address: Via Degli Scipioni, 43, city: Rome, state: RM, country: Italy, postal_code: 00192, phone: +39 06 39733434, fax: None, email: lucas.mancini@yahoo.it, support_rep_id: 5?","customer details are customer_id: 47, first_name: Lucas, last_name: Mancini, company: None, address: Via Degli Scipioni, 43, city: Rome, state: RM, country: Italy, postal_code: 00192, phone: +39 06 39733434, fax: None, email: lucas.mancini@yahoo.it, support_rep_id: 5."
"What is customer with values customer_id: 48, first_name: Johannes, last_name: Van der Berg, company: None, address: Lijnbaansgracht 120bg, city: Amsterdam, state: VV, country: Netherlands, postal_code: 1016, phone: +31 020 6223130, fax: None, email: johavanderberg@yahoo.nl, support_rep_id: 5?","customer details are customer_id: 48, first_name: Johannes, last_name: Van der Berg, company: None, address: Lijnbaansgracht 120bg, city: Amsterdam, state: VV, country: Netherlands, postal_code: 1016, phone: +31 020 6223130, fax: None, email: johavanderberg@yahoo.nl, support_rep_id: 5."
"What is customer with values customer_id: 49, first_name: Stanisław, last_name: Wójcik, company: None, address: Ordynacka 10, city: Warsaw, state: None, country: Poland, postal_code: 00-358, phone: +48 22 828 37 39, fax: None, email: stanisław.wójcik@wp.pl, support_rep_id: 4?","customer details are customer_id: 49, first_name: Stanisław, last_name: Wójcik, company: None, address: Ordynacka 10, city: Warsaw, state: None, country: Poland, postal_code: 00-358, phone: +48 22 828 37 39, fax: None, email: stanisław.wójcik@wp.pl, support_rep_id: 4."
"What is customer with values customer_id: 50, first_name: Enrique, last_name: Muñoz, company: None, address: C/ San Bernardo 85, city: Madrid, state: None, country: Spain, postal_code: 28015, phone: +34 914 454 454, fax: None, email: enrique_munoz@yahoo.es, support_rep_id: 5?","customer details are customer_id: 50, first_name: Enrique, last_name: Muñoz, company: None, address: C/ San Bernardo 85, city: Madrid, state: None, country: Spain, postal_code: 28015, phone: +34 914 454 454, fax: None, email: enrique_munoz@yahoo.es, support_rep_id: 5."
"What is customer with values customer_id: 51, first_name: Joakim, last_name: Johansson, company: None, address: Celsiusg. 9, city: Stockholm, state: None, country: Sweden, postal_code: 11230, phone: +46 08-651 52 52, fax: None, email: joakim.johansson@yahoo.se, support_rep_id: 5?","customer details are customer_id: 51, first_name: Joakim, last_name: Johansson, company: None, address: Celsiusg. 9, city: Stockholm, state: None, country: Sweden, postal_code: 11230, phone: +46 08-651 52 52, fax: None, email: joakim.johansson@yahoo.se, support_rep_id: 5."
"What is customer with values customer_id: 52, first_name: Emma, last_name: Jones, company: None, address: 202 Hoxton Street, city: London, state: None, country: United Kingdom, postal_code: N1 5LH, phone: +44 020 7707 0707, fax: None, email: emma_jones@hotmail.com, support_rep_id: 3?","customer details are customer_id: 52, first_name: Emma, last_name: Jones, company: None, address: 202 Hoxton Street, city: London, state: None, country: United Kingdom, postal_code: N1 5LH, phone: +44 020 7707 0707, fax: None, email: emma_jones@hotmail.com, support_rep_id: 3."
"What is customer with values customer_id: 53, first_name: Phil, last_name: Hughes, company: None, address: 113 Lupus St, city: London, state: None, country: United Kingdom, postal_code: SW1V 3EN, phone: +44 020 7976 5722, fax: None, email: phil.hughes@gmail.com, support_rep_id: 3?","customer details are customer_id: 53, first_name: Phil, last_name: Hughes, company: None, address: 113 Lupus St, city: London, state: None, country: United Kingdom, postal_code: SW1V 3EN, phone: +44 020 7976 5722, fax: None, email: phil.hughes@gmail.com, support_rep_id: 3."
"What is customer with values customer_id: 54, first_name: Steve, last_name: Murray, company: None, address: 110 Raeburn Pl, city: Edinburgh, state: None, country: United Kingdom, postal_code: EH4 1HH, phone: +44 0131 315 3300, fax: None, email: steve.murray@yahoo.uk, support_rep_id: 5?","customer details are customer_id: 54, first_name: Steve, last_name: Murray, company: None, address: 110 Raeburn Pl, city: Edinburgh, state: None, country: United Kingdom, postal_code: EH4 1HH, phone: +44 0131 315 3300, fax: None, email: steve.murray@yahoo.uk, support_rep_id: 5."
"What is customer with values customer_id: 55, first_name: Mark, last_name: Taylor, company: None, address: 421 Bourke Street, city: Sidney, state: NSW, country: Australia, postal_code: 2010, phone: +61 (02) 9332 3633, fax: None, email: mark.taylor@yahoo.au, support_rep_id: 4?","customer details are customer_id: 55, first_name: Mark, last_name: Taylor, company: None, address: 421 Bourke Street, city: Sidney, state: NSW, country: Australia, postal_code: 2010, phone: +61 (02) 9332 3633, fax: None, email: mark.taylor@yahoo.au, support_rep_id: 4."
"What is customer with values customer_id: 56, first_name: Diego, last_name: Gutiérrez, company: None, address: 307 Macacha Güemes, city: Buenos Aires, state: None, country: Argentina, postal_code: 1106, phone: +54 (0)11 4311 4333, fax: None, email: diego.gutierrez@yahoo.ar, support_rep_id: 4?","customer details are customer_id: 56, first_name: Diego, last_name: Gutiérrez, company: None, address: 307 Macacha Güemes, city: Buenos Aires, state: None, country: Argentina, postal_code: 1106, phone: +54 (0)11 4311 4333, fax: None, email: diego.gutierrez@yahoo.ar, support_rep_id: 4."
"What is customer with values customer_id: 57, first_name: Luis, last_name: Rojas, company: None, address: Calle Lira, 198, city: Santiago, state: None, country: Chile, postal_code: None, phone: +56 (0)2 635 4444, fax: None, email: luisrojas@yahoo.cl, support_rep_id: 5?","customer details are customer_id: 57, first_name: Luis, last_name: Rojas, company: None, address: Calle Lira, 198, city: Santiago, state: None, country: Chile, postal_code: None, phone: +56 (0)2 635 4444, fax: None, email: luisrojas@yahoo.cl, support_rep_id: 5."
"What is customer with values customer_id: 58, first_name: Manoj, last_name: Pareek, company: None, address: 12,Community Centre, city: Delhi, state: None, country: India, postal_code: 110017, phone: +91 0124 39883988, fax: None, email: manoj.pareek@rediff.com, support_rep_id: 3?","customer details are customer_id: 58, first_name: Manoj, last_name: Pareek, company: None, address: 12,Community Centre, city: Delhi, state: None, country: India, postal_code: 110017, phone: +91 0124 39883988, fax: None, email: manoj.pareek@rediff.com, support_rep_id: 3."
"What is customer with values customer_id: 59, first_name: Puja, last_name: Srivastava, company: None, address: 3,Raj Bhavan Road, city: Bangalore, state: None, country: India, postal_code: 560001, phone: +91 080 22289999, fax: None, email: puja_srivastava@yahoo.in, support_rep_id: 3?","customer details are customer_id: 59, first_name: Puja, last_name: Srivastava, company: None, address: 3,Raj Bhavan Road, city: Bangalore, state: None, country: India, postal_code: 560001, phone: +91 080 22289999, fax: None, email: puja_srivastava@yahoo.in, support_rep_id: 3."
"What is invoice with values invoice_id: 1, customer_id: 2, invoice_date: 2021-01-01 00:00:00, billing_address: Theodor-Heuss-Straße 34, billing_city: Stuttgart, billing_state: None, billing_country: Germany, billing_postal_code: 70174, total: 1.98?","invoice details are invoice_id: 1, customer_id: 2, invoice_date: 2021-01-01 00:00:00, billing_address: Theodor-Heuss-Straße 34, billing_city: Stuttgart, billing_state: None, billing_country: Germany, billing_postal_code: 70174, total: 1.98."
"What is invoice with values invoice_id: 2, customer_id: 4, invoice_date: 2021-01-02 00:00:00, billing_address: Ullevålsveien 14, billing_city: Oslo, billing_state: None, billing_country: Norway, billing_postal_code: 0171, total: 3.96?","invoice details are invoice_id: 2, customer_id: 4, invoice_date: 2021-01-02 00:00:00, billing_address: Ullevålsveien 14, billing_city: Oslo, billing_state: None, billing_country: Norway, billing_postal_code: 0171, total: 3.96."
"What is invoice with values invoice_id: 3, customer_id: 8, invoice_date: 2021-01-03 00:00:00, billing_address: Grétrystraat 63, billing_city: Brussels, billing_state: None, billing_country: Belgium, billing_postal_code: 1000, total: 5.94?","invoice details are invoice_id: 3, customer_id: 8, invoice_date: 2021-01-03 00:00:00, billing_address: Grétrystraat 63, billing_city: Brussels, billing_state: None, billing_country: Belgium, billing_postal_code: 1000, total: 5.94."
"What is invoice with values invoice_id: 4, customer_id: 14, invoice_date: 2021-01-06 00:00:00, billing_address: 8210 111 ST NW, billing_city: Edmonton, billing_state: AB, billing_country: Canada, billing_postal_code: T6G 2C7, total: 8.91?","invoice details are invoice_id: 4, customer_id: 14, invoice_date: 2021-01-06 00:00:00, billing_address: 8210 111 ST NW, billing_city: Edmonton, billing_state: AB, billing_country: Canada, billing_postal_code: T6G 2C7, total: 8.91."
"What is invoice with values invoice_id: 5, customer_id: 23, invoice_date: 2021-01-11 00:00:00, billing_address: 69 Salem Street, billing_city: Boston, billing_state: MA, billing_country: USA, billing_postal_code: 2113, total: 13.86?","invoice details are invoice_id: 5, customer_id: 23, invoice_date: 2021-01-11 00:00:00, billing_address: 69 Salem Street, billing_city: Boston, billing_state: MA, billing_country: USA, billing_postal_code: 2113, total: 13.86."
"What is invoice with values invoice_id: 6, customer_id: 37, invoice_date: 2021-01-19 00:00:00, billing_address: Berger Straße 10, billing_city: Frankfurt, billing_state: None, billing_country: Germany, billing_postal_code: 60316, total: 0.99?","invoice details are invoice_id: 6, customer_id: 37, invoice_date: 2021-01-19 00:00:00, billing_address: Berger Straße 10, billing_city: Frankfurt, billing_state: None, billing_country: Germany, billing_postal_code: 60316, total: 0.99."
"What is invoice with values invoice_id: 7, customer_id: 38, invoice_date: 2021-02-01 00:00:00, billing_address: Barbarossastraße 19, billing_city: Berlin, billing_state: None, billing_country: Germany, billing_postal_code: 10779, total: 1.98?","invoice details are invoice_id: 7, customer_id: 38, invoice_date: 2021-02-01 00:00:00, billing_address: Barbarossastraße 19, billing_city: Berlin, billing_state: None, billing_country: Germany, billing_postal_code: 10779, total: 1.98."
"What is invoice with values invoice_id: 8, customer_id: 40, invoice_date: 2021-02-01 00:00:00, billing_address: 8, Rue Hanovre, billing_city: Paris, billing_state: None, billing_country: France, billing_postal_code: 75002, total: 1.98?","invoice details are invoice_id: 8, customer_id: 40, invoice_date: 2021-02-01 00:00:00, billing_address: 8, Rue Hanovre, billing_city: Paris, billing_state: None, billing_country: France, billing_postal_code: 75002, total: 1.98."
"What is invoice with values invoice_id: 9, customer_id: 42, invoice_date: 2021-02-02 00:00:00, billing_address: 9, Place Louis Barthou, billing_city: Bordeaux, billing_state: None, billing_country: France, billing_postal_code: 33000, total: 3.96?","invoice details are invoice_id: 9, customer_id: 42, invoice_date: 2021-02-02 00:00:00, billing_address: 9, Place Louis Barthou, billing_city: Bordeaux, billing_state: None, billing_country: France, billing_postal_code: 33000, total: 3.96."
"What is invoice with values invoice_id: 10, customer_id: 46, invoice_date: 2021-02-03 00:00:00, billing_address: 3 Chatham Street, billing_city: Dublin, billing_state: Dublin, billing_country: Ireland, billing_postal_code: None, total: 5.94?","invoice details are invoice_id: 10, customer_id: 46, invoice_date: 2021-02-03 00:00:00, billing_address: 3 Chatham Street, billing_city: Dublin, billing_state: Dublin, billing_country: Ireland, billing_postal_code: None, total: 5.94."
"What is invoice with values invoice_id: 11, customer_id: 52, invoice_date: 2021-02-06 00:00:00, billing_address: 202 Hoxton Street, billing_city: London, billing_state: None, billing_country: United Kingdom, billing_postal_code: N1 5LH, total: 8.91?","invoice details are invoice_id: 11, customer_id: 52, invoice_date: 2021-02-06 00:00:00, billing_address: 202 Hoxton Street, billing_city: London, billing_state: None, billing_country: United Kingdom, billing_postal_code: N1 5LH, total: 8.91."
"What is invoice with values invoice_id: 12, customer_id: 2, invoice_date: 2021-02-11 00:00:00, billing_address: Theodor-Heuss-Straße 34, billing_city: Stuttgart, billing_state: None, billing_country: Germany, billing_postal_code: 70174, total: 13.86?","invoice details are invoice_id: 12, customer_id: 2, invoice_date: 2021-02-11 00:00:00, billing_address: Theodor-Heuss-Straße 34, billing_city: Stuttgart, billing_state: None, billing_country: Germany, billing_postal_code: 70174, total: 13.86."
"What is invoice with values invoice_id: 13, customer_id: 16, invoice_date: 2021-02-19 00:00:00, billing_address: 1600 Amphitheatre Parkway, billing_city: Mountain View, billing_state: CA, billing_country: USA, billing_postal_code: 94043-1351, total: 0.99?","invoice details are invoice_id: 13, customer_id: 16, invoice_date: 2021-02-19 00:00:00, billing_address: 1600 Amphitheatre Parkway, billing_city: Mountain View, billing_state: CA, billing_country: USA, billing_postal_code: 94043-1351, total: 0.99."
"What is invoice with values invoice_id: 14, customer_id: 17, invoice_date: 2021-03-04 00:00:00, billing_address: 1 Microsoft Way, billing_city: Redmond, billing_state: WA, billing_country: USA, billing_postal_code: 98052-8300, total: 1.98?","invoice details are invoice_id: 14, customer_id: 17, invoice_date: 2021-03-04 00:00:00, billing_address: 1 Microsoft Way, billing_city: Redmond, billing_state: WA, billing_country: USA, billing_postal_code: 98052-8300, total: 1.98."
"What is invoice with values invoice_id: 15, customer_id: 19, invoice_date: 2021-03-04 00:00:00, billing_address: 1 Infinite Loop, billing_city: Cupertino, billing_state: CA, billing_country: USA, billing_postal_code: 95014, total: 1.98?","invoice details are invoice_id: 15, customer_id: 19, invoice_date: 2021-03-04 00:00:00, billing_address: 1 Infinite Loop, billing_city: Cupertino, billing_state: CA, billing_country: USA, billing_postal_code: 95014, total: 1.98."
"What is invoice with values invoice_id: 16, customer_id: 21, invoice_date: 2021-03-05 00:00:00, billing_address: 801 W 4th Street, billing_city: Reno, billing_state: NV, billing_country: USA, billing_postal_code: 89503, total: 3.96?","invoice details are invoice_id: 16, customer_id: 21, invoice_date: 2021-03-05 00:00:00, billing_address: 801 W 4th Street, billing_city: Reno, billing_state: NV, billing_country: USA, billing_postal_code: 89503, total: 3.96."
"What is invoice with values invoice_id: 17, customer_id: 25, invoice_date: 2021-03-06 00:00:00, billing_address: 319 N. Frances Street, billing_city: Madison, billing_state: WI, billing_country: USA, billing_postal_code: 53703, total: 5.94?","invoice details are invoice_id: 17, customer_id: 25, invoice_date: 2021-03-06 00:00:00, billing_address: 319 N. Frances Street, billing_city: Madison, billing_state: WI, billing_country: USA, billing_postal_code: 53703, total: 5.94."
"What is invoice with values invoice_id: 18, customer_id: 31, invoice_date: 2021-03-09 00:00:00, billing_address: 194A Chain Lake Drive, billing_city: Halifax, billing_state: NS, billing_country: Canada, billing_postal_code: B3S 1C5, total: 8.91?","invoice details are invoice_id: 18, customer_id: 31, invoice_date: 2021-03-09 00:00:00, billing_address: 194A Chain Lake Drive, billing_city: Halifax, billing_state: NS, billing_country: Canada, billing_postal_code: B3S 1C5, total: 8.91."
"What is invoice with values invoice_id: 19, customer_id: 40, invoice_date: 2021-03-14 00:00:00, billing_address: 8, Rue Hanovre, billing_city: Paris, billing_state: None, billing_country: France, billing_postal_code: 75002, total: 13.86?","invoice details are invoice_id: 19, customer_id: 40, invoice_date: 2021-03-14 00:00:00, billing_address: 8, Rue Hanovre, billing_city: Paris, billing_state: None, billing_country: France, billing_postal_code: 75002, total: 13.86."
"What is invoice with values invoice_id: 20, customer_id: 54, invoice_date: 2021-03-22 00:00:00, billing_address: 110 Raeburn Pl, billing_city: Edinburgh, billing_state: None, billing_country: United Kingdom, billing_postal_code: EH4 1HH, total: 0.99?","invoice details are invoice_id: 20, customer_id: 54, invoice_date: 2021-03-22 00:00:00, billing_address: 110 Raeburn Pl, billing_city: Edinburgh, billing_state: None, billing_country: United Kingdom, billing_postal_code: EH4 1HH, total: 0.99."
"What is invoice with values invoice_id: 21, customer_id: 55, invoice_date: 2021-04-04 00:00:00, billing_address: 421 Bourke Street, billing_city: Sidney, billing_state: NSW, billing_country: Australia, billing_postal_code: 2010, total: 1.98?","invoice details are invoice_id: 21, customer_id: 55, invoice_date: 2021-04-04 00:00:00, billing_address: 421 Bourke Street, billing_city: Sidney, billing_state: NSW, billing_country: Australia, billing_postal_code: 2010, total: 1.98."
"What is invoice with values invoice_id: 22, customer_id: 57, invoice_date: 2021-04-04 00:00:00, billing_address: Calle Lira, 198, billing_city: Santiago, billing_state: None, billing_country: Chile, billing_postal_code: None, total: 1.98?","invoice details are invoice_id: 22, customer_id: 57, invoice_date: 2021-04-04 00:00:00, billing_address: Calle Lira, 198, billing_city: Santiago, billing_state: None, billing_country: Chile, billing_postal_code: None, total: 1.98."
"What is invoice with values invoice_id: 23, customer_id: 59, invoice_date: 2021-04-05 00:00:00, billing_address: 3,Raj Bhavan Road, billing_city: Bangalore, billing_state: None, billing_country: India, billing_postal_code: 560001, total: 3.96?","invoice details are invoice_id: 23, customer_id: 59, invoice_date: 2021-04-05 00:00:00, billing_address: 3,Raj Bhavan Road, billing_city: Bangalore, billing_state: None, billing_country: India, billing_postal_code: 560001, total: 3.96."
"What is invoice with values invoice_id: 24, customer_id: 4, invoice_date: 2021-04-06 00:00:00, billing_address: Ullevålsveien 14, billing_city: Oslo, billing_state: None, billing_country: Norway, billing_postal_code: 0171, total: 5.94?","invoice details are invoice_id: 24, customer_id: 4, invoice_date: 2021-04-06 00:00:00, billing_address: Ullevålsveien 14, billing_city: Oslo, billing_state: None, billing_country: Norway, billing_postal_code: 0171, total: 5.94."
"What is invoice with values invoice_id: 25, customer_id: 10, invoice_date: 2021-04-09 00:00:00, billing_address: Rua Dr. Falcão Filho, 155, billing_city: São Paulo, billing_state: SP, billing_country: Brazil, billing_postal_code: 01007-010, total: 8.91?","invoice details are invoice_id: 25, customer_id: 10, invoice_date: 2021-04-09 00:00:00, billing_address: Rua Dr. Falcão Filho, 155, billing_city: São Paulo, billing_state: SP, billing_country: Brazil, billing_postal_code: 01007-010, total: 8.91."
"What is invoice with values invoice_id: 26, customer_id: 19, invoice_date: 2021-04-14 00:00:00, billing_address: 1 Infinite Loop, billing_city: Cupertino, billing_state: CA, billing_country: USA, billing_postal_code: 95014, total: 13.86?","invoice details are invoice_id: 26, customer_id: 19, invoice_date: 2021-04-14 00:00:00, billing_address: 1 Infinite Loop, billing_city: Cupertino, billing_state: CA, billing_country: USA, billing_postal_code: 95014, total: 13.86."
"What is invoice with values invoice_id: 27, customer_id: 33, invoice_date: 2021-04-22 00:00:00, billing_address: 5112 48 Street, billing_city: Yellowknife, billing_state: NT, billing_country: Canada, billing_postal_code: X1A 1N6, total: 0.99?","invoice details are invoice_id: 27, customer_id: 33, invoice_date: 2021-04-22 00:00:00, billing_address: 5112 48 Street, billing_city: Yellowknife, billing_state: NT, billing_country: Canada, billing_postal_code: X1A 1N6, total: 0.99."
"What is invoice with values invoice_id: 28, customer_id: 34, invoice_date: 2021-05-05 00:00:00, billing_address: Rua da Assunção 53, billing_city: Lisbon, billing_state: None, billing_country: Portugal, billing_postal_code: None, total: 1.98?","invoice details are invoice_id: 28, customer_id: 34, invoice_date: 2021-05-05 00:00:00, billing_address: Rua da Assunção 53, billing_city: Lisbon, billing_state: None, billing_country: Portugal, billing_postal_code: None, total: 1.98."
"What is invoice with values invoice_id: 29, customer_id: 36, invoice_date: 2021-05-05 00:00:00, billing_address: Tauentzienstraße 8, billing_city: Berlin, billing_state: None, billing_country: Germany, billing_postal_code: 10789, total: 1.98?","invoice details are invoice_id: 29, customer_id: 36, invoice_date: 2021-05-05 00:00:00, billing_address: Tauentzienstraße 8, billing_city: Berlin, billing_state: None, billing_country: Germany, billing_postal_code: 10789, total: 1.98."
"What is invoice with values invoice_id: 30, customer_id: 38, invoice_date: 2021-05-06 00:00:00, billing_address: Barbarossastraße 19, billing_city: Berlin, billing_state: None, billing_country: Germany, billing_postal_code: 10779, total: 3.96?","invoice details are invoice_id: 30, customer_id: 38, invoice_date: 2021-05-06 00:00:00, billing_address: Barbarossastraße 19, billing_city: Berlin, billing_state: None, billing_country: Germany, billing_postal_code: 10779, total: 3.96."
